ind,Hebei,Shanxi,InnerMongolia,Liaoning,Jilin,Heilongjiang,Shandong,Henan,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Shaanxi,Gansu,Qinghai,Ningxia,Tianjin
Hebei,0,0.0392,0.058,0,0.0691,0,0.14466,0.0203,0.13817,1.1197,0.19918,2.4161,2.0069,0.81889,1.9567,4.3891,6.2178,6.489,1.534,1.6646,1.8867,1.213,0.20218,0.232,0.92459,0.12158,0.24234
Shanxi,0.0392,0,0,0,0.0547,0,0.10891,0.046,0.31578,1.327,0.28892,2.6347,2.2278,0.98539,2.2543,4.5847,6.7589,7.0194,1.7228,1.9104,2.143,1.2767,0.11538,0.0798,0.65245,0,0.11048
InnerMongolia,0.058,0,0,0,0,0,0.11483,0.0204,0.27403,1.1441,0.27044,2.4217,1.9377,0.68862,1.8851,4.2585,6.3502,6.2482,1.2097,1.6565,1.98,1.1402,0.14993,0.1218,0.68026,0.10462,0.0945
Liaoning,0,0,0,0,0,0,0,0,0.2717,1.0589,0.0709,2.2141,1.9254,0.87662,1.8304,4.3459,6.469,6.5573,1.0993,1.4861,1.7926,1.0163,0,0,0.35684,0,0.0503
Jilin,0.0691,0.0547,0,0,0,0,0,0,0.00624,1.0345,0.10297,2.1438,1.741,0.66672,1.7945,4.0292,6.2678,6.5102,1.3761,1.445,1.689,1.0969,0.16032,0.20234,0.86781,0.17824,0.35638
Heilongjiang,0,0,0,0,0,0,0,0,0.12655,1.0102,0.0726,2.1969,1.8665,0.67789,1.9558,4.1897,6.3202,6.5406,1.5273,1.5117,1.8966,1.1059,0.0557,0.0394,0.76594,0.0592,0.2323
Shandong,0.14466,0.10891,0.11483,0,0,0,0,0.0237,0.1571,1.1933,0.22116,2.3899,2.0485,0.99246,2.1742,4.3929,6.5649,6.8661,1.7027,1.8271,2.1046,1.3489,0.28806,0.41815,1.2184,0.30306,0.36363
Henan,0.0203,0.046,0.0204,0,0,0,0.0237,0,0.14949,0.92349,0.12681,1.9646,1.6276,0.64338,1.683,3.8257,5.7103,5.9897,1.3596,1.3397,1.6938,1.0664,0.17647,0.22492,0.88353,0.13447,0.30266
Jiangsu,0.13817,0.31578,0.27403,0.2717,0.00624,0.12655,0.1571,0.14949,0,0.44156,0,1.3162,1.0991,0.23541,1.1012,2.9904,4.6882,4.9583,0.87029,0.9533,1.2317,0.68696,0.31009,0.49925,1.0884,0.32717,0.24671
Zhejiang,1.1197,1.327,1.1441,1.0589,1.0345,1.0102,1.1933,0.92349,0.44156,0,0.45827,0.51376,0.23696,0.10519,0.31742,1.6322,2.898,3.1449,0.37796,0.36194,0.55913,0.53849,1.0007,1.4026,2.1434,1.2004,1.0804
Anhui,0.19918,0.28892,0.27044,0.0709,0.10297,0.0726,0.22116,0.12681,0,0.45827,0,1.5083,1.0809,0.36644,1.1743,3.1336,4.8736,5.1691,0.90734,0.99363,1.212,0.75812,0.21609,0.41787,1.2133,0.31617,0.3094
Fujian,2.4161,2.6347,2.4217,2.2141,2.1438,2.1969,2.3899,1.9646,1.3162,0.51376,1.5083,0,0.43686,0.80862,0.51207,1.30251,2.0195,2.0298,0.8264,0.42575,0.71434,0.95897,2.1591,2.5699,3.2228,2.2581,2.768
Jiangxi,2.0069,2.2278,1.9377,1.9254,1.741,1.8665,2.0485,1.6276,1.0991,0.23696,1.0809,0.43686,0,0.33638,0.0467,0.98334,1.8683,2.1275,0.30302,0.27723,0.41742,0.72055,1.7619,2.2163,2.9201,1.9331,1.8972
Hubei,0.81889,0.98539,0.68862,0.87662,0.66672,0.67789,0.99246,0.64338,0.23541,0.10519,0.36644,0.80862,0.33638,0,0.21504,1.7909,3.0905,3.2601,0.27503,0.32981,0.44937,0.44704,0.60572,0.94948,1.4067,0.8529,0.83609
Hunan,1.9567,2.2543,1.8851,1.8304,1.7945,1.9558,2.1742,1.683,1.1012,0.31742,1.1743,0.51207,0.0467,0.21504,0,0.80782,1.5622,1.8206,0.11192,0.0936,0.17393,0.52771,1.6732,2.13,2.8293,1.8487,2.1383
Guangdong,4.3891,4.5847,4.2585,4.3459,4.0292,4.1897,4.3929,3.8257,2.9904,1.6322,3.1336,1.30251,0.98334,1.7909,0.80782,0,0.6422,0.75239,1.30478,1.30571,1.21838,1.8768,3.7042,4.2867,5.0717,4.0148,4.3762
Guangxi,6.2178,6.7589,6.3502,6.469,6.2678,6.3202,6.5649,5.7103,4.6882,2.898,4.8736,2.0195,1.8683,3.0905,1.5622,0.6422,0,0.36625,2.0969,1.7746,1.7292,2.6612,5.614,6.3682,6.8707,6.0767,6.7974
Hainan,6.489,7.0194,6.2482,6.5573,6.5102,6.5406,6.8661,5.9897,4.9583,3.1449,5.1691,2.0298,2.1275,3.2601,1.8206,0.75239,0.36625,0,2.4375,2.1031,2.2394,3.0726,6.0018,6.4572,7.2079,6.2077,7.193
Chongqing,1.534,1.7228,1.2097,1.0993,1.3761,1.5273,1.7027,1.3596,0.87029,0.37796,0.90734,0.8264,0.30302,0.27503,0.11192,1.30478,2.0969,2.4375,0,0.0741,0.0981,0.20865,1.1217,1.5426,2.0198,1.4762,1.7181
Sichuan,1.6646,1.9104,1.6565,1.4861,1.445,1.5117,1.8271,1.3397,0.9533,0.36194,0.99363,0.42575,0.27723,0.32981,0.0936,1.30571,1.7746,2.1031,0.0741,0,0.0641,0.30016,1.3964,1.6864,2.2881,1.576,1.9417
Guizhou,1.8867,2.143,1.98,1.7926,1.689,1.8966,2.1046,1.6938,1.2317,0.55913,1.212,0.71434,0.41742,0.44937,0.17393,1.21838,1.7292,2.2394,0.0981,0.0641,0,0.38128,1.4538,1.9233,2.3582,1.7776,2.1523
Yunnan,1.213,1.2767,1.1402,1.0163,1.0969,1.1059,1.3489,1.0664,0.68696,0.53849,0.75812,0.95897,0.72055,0.44704,0.52771,1.8768,2.6612,3.0726,0.20865,0.30016,0.38128,0,0.89819,1.0476,1.3836,0.9782,1.4311
Shaanxi,0.20218,0.11538,0.14993,0,0.16032,0.0557,0.28806,0.17647,0.31009,1.0007,0.21609,2.1591,1.7619,0.60572,1.6732,3.7042,5.614,6.0018,1.1217,1.3964,1.4538,0.89819,0,0.0621,0.61098,0.16833,0.2745
Gansu,0.232,0.0798,0.1218,0,0.20234,0.0394,0.41815,0.22492,0.49925,1.4026,0.41787,2.5699,2.2163,0.94948,2.13,4.2867,6.3682,6.4572,1.5426,1.6864,1.9233,1.0476,0.0621,0,0.22842,0,0.18662
Qinghai,0.92459,0.65245,0.68026,0.35684,0.86781,0.76594,1.2184,0.88353,1.0884,2.1434,1.2133,3.2228,2.9201,1.4067,2.8293,5.0717,6.8707,7.2079,2.0198,2.2881,2.3582,1.3836,0.61098,0.22842,0,0.42557,0.36169
Ningxia,0.12158,0,0.10462,0,0.17824,0.0592,0.30306,0.13447,0.32717,1.2004,0.31617,2.2581,1.9331,0.8529,1.8487,4.0148,6.0767,6.2077,1.4762,1.576,1.7776,0.9782,0.16833,0,0.42557,0,0.22799
Tianjin,0.24234,0.11048,0.0945,0.0503,0.35638,0.2323,0.36363,0.30266,0.24671,1.0804,0.3094,2.768,1.8972,0.83609,2.1383,4.3762,6.7974,7.193,1.7181,1.9417,2.1523,1.4311,0.2745,0.18662,0.36169,0.22799,0
