ind,CHB,JPT,CHS,CDX,KHV,CEU,TSI,FIN,GBR,IBS,YRI,LWK,GWD,MSL,ESN,ASW,ACB,MXL,PUR,CLM,PEL,GIH,PJL,BEB,STU,ITU,North,South,Central,Lingnan
CHB,0.0,6.997800000000001,1.2697,9.5163,6.7736,103.24000000000001,102.37,96.101,103.30999999999999,102.36000000000001,165.18,156.04000000000002,161.8,166.42000000000002,166.05,122.80999999999999,141.99,65.69900000000001,79.562,72.375,81.277,71.505,69.106,54.802,65.93599999999999,67.173,0.27674,0.51764,0.12494000000000001,3.1980999999999997
JPT,6.997800000000001,0.0,9.3949,18.381999999999998,14.938,106.30999999999999,105.42999999999999,98.757,106.28,105.25999999999999,167.80999999999997,158.64000000000001,164.37,169.1,168.76,125.55999999999997,144.69000000000003,67.16900000000001,81.962,74.393,82.255,73.835,71.602,57.58200000000001,68.091,69.42899999999999,6.9399,8.3477,7.244,11.682
CHS,1.2697,9.3949,0.0,5.3828000000000005,3.6899999999999995,106.17999999999999,105.25999999999999,99.072,106.30000000000001,105.19000000000001,167.34,158.15,163.87,168.5,168.17000000000002,125.24000000000002,144.19000000000003,68.938,82.438,75.385,84.52600000000001,73.59100000000001,71.274,56.461000000000006,67.68400000000001,69.06099999999999,2.5349,0.22206,1.6596,0.83294
CDX,9.5163,18.381999999999998,5.3828000000000005,0.0,2.3035,107.72000000000001,106.75999999999999,101.06,107.91,106.67,166.79000000000002,157.53,163.35999999999999,167.92000000000002,167.54000000000002,125.13,143.68,72.635,84.09,77.733,89.64999999999999,74.21,71.94099999999999,56.815,67.978,69.494,12.042,6.4351,10.552,2.6673
KHV,6.7736,14.938,3.6899999999999995,2.3035,0.0,102.88,101.91,96.41900000000001,102.94,101.92000000000002,163.47,154.29000000000002,160.16,164.58,164.32,121.45,140.29,68.01499999999999,79.74099999999999,73.338,85.43400000000001,69.313,67.247,52.25,63.31,64.731,8.9675,4.447299999999999,7.693300000000001,1.8683
CEU,103.24000000000001,106.30999999999999,106.17999999999999,107.72000000000001,102.88,0.0,3.9039,6.726899999999999,0.31606,2.5736,146.56,135.35,142.0,147.06,147.29999999999998,91.297,115.75999999999999,37.049,11.422,16.253,87.45499999999998,35.092,29.226,40.211999999999996,41.4,40.671,103.59000000000002,108.02000000000001,104.97000000000001,106.85
TSI,102.37,105.42999999999999,105.25999999999999,106.75999999999999,101.91,3.9039,0.0,12.668000000000001,4.051500000000001,1.5977999999999999,142.06,130.91,137.46,142.48,142.81,88.151,111.99000000000001,37.672000000000004,10.056000000000001,15.972999999999997,89.27300000000001,33.739,27.964999999999996,38.986,39.649,38.757,103.15,107.50999999999999,104.2,105.95999999999998
FIN,96.101,98.757,99.072,101.06,96.41900000000001,6.726899999999999,12.668000000000001,0.0,7.3425,11.013,148.94000000000003,137.85999999999999,144.47000000000003,149.35999999999999,149.63,94.09400000000001,118.54,36.748000000000005,16.490000000000002,19.427,83.463,36.614,31.119,40.029,42.128,41.632000000000005,96.07000000000001,100.54,97.736,99.953
GBR,103.30999999999999,106.28,106.30000000000001,107.91,102.94,0.31606,4.051500000000001,7.3425,0.0,2.6069,146.8,135.59,142.32999999999998,147.25,147.60000000000002,91.49799999999999,116.03,37.127,11.620999999999999,16.419,87.71900000000001,35.267,29.325,40.396,41.586,40.870999999999995,103.6,108.00000000000001,105.09,107.0
IBS,102.36000000000001,105.25999999999999,105.19000000000001,106.67,101.92000000000002,2.5736,1.5977999999999999,11.013,2.6069,0.0,140.6,129.59,135.95,141.01,141.39000000000001,86.687,110.52999999999999,36.845,8.972399999999999,14.825,88.488,35.491,29.495,40.118,41.15899999999999,40.363,103.15,107.49000000000001,104.14000000000001,105.89000000000001
YRI,165.18,167.80999999999997,167.34,166.79000000000002,163.47,146.56,142.06,148.94000000000003,146.8,140.6,0.0,7.6773,6.4803999999999995,4.1249,0.95448,10.148000000000001,3.0340999999999996,135.26,105.20999999999998,117.95,169.85999999999999,130.5,127.16,126.97999999999998,127.40000000000002,128.29000000000002,171.45,174.12,168.25,167.41
LWK,156.04000000000002,158.64000000000001,158.15,157.53,154.29000000000002,135.35,130.91,137.85999999999999,135.59,129.59,7.6773,0.0,11.143,9.835700000000001,8.0505,10.717,6.8122,124.87,95.739,107.86,160.23,120.1,116.63,116.65,117.19,118.02,162.79000000000002,165.57,159.3,158.33
GWD,161.8,164.37,163.87,163.35999999999999,160.16,142.0,137.46,144.47000000000003,142.32999999999998,135.95,6.4803999999999995,11.143,0.0,3.8867,7.9354000000000005,11.612,6.4766,131.13,101.27,113.94999999999999,165.98,126.63,123.30000000000001,123.22000000000001,123.64999999999999,124.50999999999999,168.34,171.0,164.98,163.98
MSL,166.42000000000002,169.1,168.5,167.92000000000002,164.58,147.06,142.48,149.35999999999999,147.25,141.01,4.1249,9.835700000000001,3.8867,0.0,5.548300000000001,11.415,4.9319999999999995,135.47,105.27,118.15999999999998,170.81,130.79000000000002,127.38,127.15000000000002,127.61,128.54000000000002,172.19,174.82999999999998,169.51,168.65
ESN,166.05,168.76,168.17000000000002,167.54000000000002,164.32,147.29999999999998,142.81,149.63,147.60000000000002,141.39000000000001,0.95448,8.0505,7.9354000000000005,5.548300000000001,0.0,10.75,3.7521999999999998,135.98,105.80999999999999,118.6,170.79,131.01,127.69,127.45,127.88,128.76999999999998,172.02,174.69,169.13,168.27
ASW,122.80999999999999,125.55999999999997,125.24000000000002,125.13,121.45,91.297,88.151,94.09400000000001,91.49799999999999,86.687,10.148000000000001,10.717,11.612,11.415,10.75,0.0,2.9216999999999995,83.94500000000001,57.266999999999996,67.626,121.86,82.521,78.689,79.833,81.094,81.68599999999999,127.85,130.92999999999998,125.92,125.55
ACB,141.99,144.69000000000003,144.19000000000003,143.68,140.29,115.75999999999999,111.99000000000001,118.54,116.03,110.52999999999999,3.0340999999999996,6.8122,6.4766,4.9319999999999995,3.7521999999999998,2.9216999999999995,0.0,108.14999999999999,78.839,90.811,144.84,103.9,100.24,100.92999999999999,101.65,102.38,148.73,151.57000000000002,145.34,144.35999999999999
MXL,65.69900000000001,67.16900000000001,68.938,72.635,68.01499999999999,37.049,37.672000000000004,36.748000000000005,37.127,36.845,135.26,124.87,131.13,135.47,135.98,83.94500000000001,108.14999999999999,0.0,19.389,9.5554,18.449,39.201,35.046,36.454,41.074,40.892,65.468,69.622,67.03200000000001,70.2
PUR,79.562,81.962,82.438,84.09,79.74099999999999,11.422,10.056000000000001,16.490000000000002,11.620999999999999,8.972399999999999,105.20999999999998,95.739,101.27,105.27,105.80999999999999,57.266999999999996,78.839,19.389,0.0,5.8215,58.861999999999995,28.541000000000004,23.396,29.842,31.911,31.584,81.675,85.72300000000001,81.67999999999999,83.15599999999999
CLM,72.375,74.393,75.385,77.733,73.338,16.253,15.972999999999997,19.427,16.419,14.825,117.95,107.86,113.94999999999999,118.15999999999998,118.6,67.626,90.811,9.5554,5.8215,0.0,40.468,29.265,24.68,29.381999999999998,32.308,32.053,73.619,77.71499999999999,74.216,76.224
PEL,81.277,82.255,84.52600000000001,89.64999999999999,85.43400000000001,87.45499999999998,89.27300000000001,83.463,87.71900000000001,88.488,169.85999999999999,160.23,165.98,170.81,170.79,121.86,144.84,18.449,58.861999999999995,40.468,0.0,76.20599999999999,73.367,70.613,76.60399999999998,76.64299999999999,79.402,83.386,81.848,86.04599999999999
GIH,71.505,73.835,73.59100000000001,74.21,69.313,35.092,33.739,36.614,35.267,35.491,130.5,120.1,126.63,130.79000000000002,131.01,82.521,103.9,39.201,28.541000000000004,29.265,76.20599999999999,0.0,3.5551000000000004,4.5565,4.3562,3.7991999999999995,73.01299999999999,76.158,73.142,73.912
PJL,69.106,71.602,71.274,71.94099999999999,67.247,29.226,27.964999999999996,31.119,29.325,29.495,127.16,116.63,123.30000000000001,127.38,127.69,78.689,100.24,35.046,23.396,24.68,73.367,3.5551000000000004,0.0,3.9943,3.785,3.4536000000000002,70.645,73.906,70.893,71.697
BEB,54.802,57.58200000000001,56.461000000000006,56.815,52.25,40.211999999999996,38.986,40.029,40.396,40.118,126.97999999999998,116.65,123.22000000000001,127.15000000000002,127.45,79.833,100.92999999999999,36.454,29.842,29.381999999999998,70.613,4.5565,3.9943,0.0,2.2576,2.4296,56.012,58.303,56.302,56.605999999999995
STU,65.93599999999999,68.091,67.68400000000001,67.978,63.31,41.4,39.649,42.128,41.586,41.15899999999999,127.40000000000002,117.19,123.64999999999999,127.61,127.88,81.094,101.65,41.074,31.911,32.308,76.60399999999998,4.3562,3.785,2.2576,0.0,1.2640000000000002,67.654,70.28200000000001,67.59700000000001,67.928
ITU,67.173,69.42899999999999,69.06099999999999,69.494,64.731,40.671,38.757,41.632000000000005,40.870999999999995,40.363,128.29000000000002,118.02,124.50999999999999,128.54000000000002,128.76999999999998,81.68599999999999,102.38,40.892,31.584,32.053,76.64299999999999,3.7991999999999995,3.4536000000000002,2.4296,1.2640000000000002,0.0,68.87400000000001,71.70499999999998,68.875,69.357
North,0.27674,6.9399,2.5349,12.042,8.9675,103.59000000000002,103.15,96.07000000000001,103.6,103.15,171.45,162.79000000000002,168.34,172.19,172.02,127.85,148.73,65.468,81.675,73.619,79.402,73.01299999999999,70.645,56.012,67.654,68.87400000000001,0.0,1.4998,0.20712,5.1055
South,0.51764,8.3477,0.22206,6.4351,4.447299999999999,108.02000000000001,107.50999999999999,100.54,108.00000000000001,107.49000000000001,174.12,165.57,171.0,174.82999999999998,174.69,130.92999999999998,151.57000000000002,69.622,85.72300000000001,77.71499999999999,83.386,76.158,73.906,58.303,70.28200000000001,71.70499999999998,1.4998,0.0,0.83165,1.3009
Central,0.12494000000000001,7.244,1.6596,10.552,7.693300000000001,104.97000000000001,104.2,97.736,105.09,104.14000000000001,168.25,159.3,164.98,169.51,169.13,125.92,145.34,67.03200000000001,81.67999999999999,74.216,81.848,73.142,70.893,56.302,67.59700000000001,68.875,0.20712,0.83165,0.0,3.8606000000000003
Lingnan,3.1980999999999997,11.682,0.83294,2.6673,1.8683,106.85,105.95999999999998,99.953,107.0,105.89000000000001,167.41,158.33,163.98,168.65,168.27,125.55,144.35999999999999,70.2,83.15599999999999,76.224,86.04599999999999,73.912,71.697,56.605999999999995,67.928,69.357,5.1055,1.3009,3.8606000000000003,0.0
